features,sv_0,sv_1,sv_2,sv_3,sv_4,cv_std,cv_mean,feature_n
LST1,1.8028512,1.8045274,1.7440856,1.8468148,1.7481524,0.043188334,1.7892863,1
S100A9,1.2712249,1.41507,1.3975046,1.1094259,1.4701477,0.14448777,1.3326746,2
APOE,1.3986379,1.3423632,1.1790749,1.2781694,1.0138555,0.15159573,1.2424201,3
FN1,1.3172042,1.2438517,1.204881,1.0877717,1.1460688,0.08829976,1.1999553,4
C1QC,1.0864763,1.0393871,1.6459291,0.85245526,1.1212451,0.29646745,1.1490986,5
SOD2,1.1206148,1.3313795,1.1311306,0.9653899,1.0779395,0.13260747,1.1252909,6
RNASE1,0.9937219,0.9863973,0.8279525,0.8193732,1.12949,0.12980983,0.9513869,7
LYZ,1.0080998,0.6794784,0.92674756,1.0482254,0.7397079,0.16338944,0.8804518,8
FCGR3A,0.9995277,0.8652282,0.945955,0.7066831,0.7263295,0.1300231,0.8487447,9
APOC1,0.5931234,0.8698021,0.70368695,0.6479804,0.77805936,0.108801864,0.7185305,10
C15orf48,0.63290274,0.5698458,0.81978315,0.7015439,0.7210544,0.09438444,0.689026,11
MS4A6A,0.5788361,0.7249086,0.66085106,0.72761035,0.67242384,0.060604323,0.672926,12
CD163,0.68993896,0.78972936,0.5114952,0.7175543,0.60453635,0.107393324,0.6626508,13
C1QB,0.7710987,0.7929188,0.55957335,0.47840562,0.62274814,0.13539514,0.64494896,14
FCER1A,0.6369597,0.64873797,0.66680974,0.4748492,0.65323114,0.079690576,0.6161176,15
HLA-DQB1,0.47652784,0.32839787,1.0666308,0.5013975,0.61992145,0.28145453,0.59857506,16
AQP9,0.52095443,0.7259406,0.34268016,0.74503136,0.59988934,0.1646957,0.58689916,17
FCGR2B,0.5264889,0.6489505,0.37843964,0.60521954,0.69268703,0.123605885,0.57035714,18
BCL3,0.6369565,0.52925575,0.58803296,0.56342804,0.47771463,0.06006609,0.55907756,19
CAPG,0.5180879,0.46673495,0.52756023,0.6415782,0.6128846,0.07200568,0.55336916,20
FCN1,0.55061245,0.4675436,0.7724679,0.40237522,0.4806158,0.1429438,0.534723,21
VCAN,0.4852401,0.5841408,0.5887938,0.3067762,0.644054,0.13312818,0.521801,22
TIMP1,0.42891994,0.6215509,0.3592726,0.5926611,0.58758354,0.11647809,0.5179976,23
G0S2,0.40831712,0.5233979,0.6505786,0.47465563,0.4468592,0.09366231,0.5007616,24
LAMP3,0.41289797,0.17964083,0.46358386,1.1163912,0.2992428,0.36456308,0.49435133,25
C1QA,0.4007388,0.5013273,0.25985277,0.5131299,0.7907977,0.19495362,0.4931693,26
EREG,0.3647897,0.47793078,0.38895184,0.52077603,0.61128366,0.10025278,0.47274637,27
CYP27A1,0.3550938,0.31535444,0.54752594,0.59332025,0.46475908,0.11965648,0.4552107,28
ISG15,0.35192892,0.5263958,0.39981186,0.4472238,0.50943863,0.07325904,0.4469598,29
SERPINA1,0.6195427,0.351341,0.44687706,0.51455253,0.29643258,0.128596,0.4457492,30
CLEC10A,0.37344903,0.38810652,0.4857563,0.41171235,0.5262739,0.065984376,0.43705964,31
MRC1,0.43340892,0.4412201,0.5427401,0.41249517,0.333076,0.07502505,0.43258804,32
FOLR2,0.272018,0.4754312,0.5936791,0.595024,0.2085315,0.18033907,0.42893678,33
CST3,0.45551312,0.25480375,0.5085179,0.42530656,0.4983588,0.10270517,0.42850003,34
S100A8,0.67375714,0.4805876,0.19763649,0.4118492,0.36743072,0.17330867,0.42625222,35
SAT1,0.55020607,0.42689636,0.24546063,0.5797394,0.24911411,0.15946141,0.41028327,36
CLEC9A,0.34573403,0.54447985,0.33594808,0.2957172,0.31768322,0.100529574,0.36791247,37
CTSB,0.41193363,0.45815694,0.30802947,0.2759304,0.37469858,0.07441651,0.36574984,38
TREM1,0.3363186,0.22196054,0.36593655,0.34362084,0.46407643,0.086348064,0.3463826,39
CCL3,0.43507975,0.4618551,0.19651578,0.24975148,0.36276075,0.115252204,0.34119257,40
HLA-DRB1,0.22657794,0.35818613,0.16718096,0.4385789,0.46249056,0.12975162,0.33060288,41
CSF3R,0.5548178,0.2734169,0.16515692,0.3309724,0.2839616,0.14378026,0.3216651,42
HLA-DQA1,0.29689994,0.45343736,0.35499394,0.31660762,0.18615454,0.09679454,0.32161865,43
PLIN2,0.2586463,0.36697257,0.4381267,0.30543393,0.21680216,0.087674506,0.3171963,44
IER3,0.36170158,0.18845922,0.33226278,0.42900005,0.21975525,0.10021867,0.30623576,45
IL1B,0.3312355,0.32484642,0.19672891,0.27262563,0.39451614,0.07392725,0.30399054,46
THBS1,0.24100229,0.286763,0.56441164,0.22847995,0.1600478,0.15668179,0.29614094,47
VIM,0.25116414,0.366638,0.44292155,0.14568236,0.25950783,0.114535265,0.29318276,48
PLAUR,0.09448574,0.4952208,0.38688576,0.24179786,0.24272284,0.1535107,0.29222262,49
S100A12,0.17404014,0.2413381,0.26183653,0.5563528,0.18361941,0.1570455,0.28343737,50
RPS27,0.2405564,0.38805568,0.21583922,0.29357818,0.18650328,0.079270706,0.26490656,51
HLA-DPA1,0.4857154,0.19318393,0.21736069,0.3080167,0.112815775,0.14242569,0.2634185,52
PAG1,0.19262527,0.2145766,0.23874205,0.37445095,0.27453962,0.071343936,0.2589869,53
COTL1,0.13609456,0.23972477,0.3577419,0.24535795,0.2933206,0.08137513,0.25444794,54
CD55,0.17646936,0.29183424,0.2341306,0.2520039,0.30879933,0.052045718,0.2526475,55
HLA-DPB1,0.30712995,0.2532167,0.21973076,0.30693424,0.15767145,0.063148275,0.24893662,56
AHNAK,0.20421219,0.3433509,0.2030443,0.24010281,0.20083961,0.060924467,0.23830995,57
CTSZ,0.2509064,0.24536344,0.20362997,0.22105756,0.2648581,0.024530573,0.2371631,58
S100A4,0.20211743,0.2298759,0.3431242,0.028679933,0.37066397,0.13580409,0.23489228,59
ITM2C,0.23593883,0.2515315,0.25753435,0.421779,0.0,0.15073144,0.23335674,60
CD14,0.2993644,0.24321844,0.20529042,0.1540518,0.24848488,0.05409828,0.23008199,61
MT-ND3,0.13534553,0.17154068,0.17455389,0.10834429,0.539818,0.17759176,0.22592048,62
BIRC3,0.3796514,0.22919078,0.38672847,0.028926436,0.10431677,0.16054368,0.2257628,63
ELL2,0.12972634,0.14038141,0.2561961,0.2402658,0.35720545,0.09343661,0.22475502,64
S100A11,0.25632238,0.2586725,0.32548475,0.08425358,0.18633807,0.09148444,0.22221425,65
PLD3,0.22541612,0.18988605,0.21762629,0.22065258,0.24655578,0.020294398,0.22002736,66
CFD,0.18400994,0.27998957,0.14276326,0.14316699,0.3276894,0.08405309,0.21552384,67
CD52,0.16185194,0.25322667,0.18856919,0.1292747,0.34178862,0.08427447,0.21494225,68
CRIP1,0.20570287,0.11241631,0.17519686,0.2632543,0.21636337,0.055769555,0.19458674,69
CCL3L3,0.15916944,0.17761607,0.32348216,0.12538883,0.18573979,0.07586594,0.19427924,70
CFP,0.25520995,0.33913854,0.10445671,0.12747438,0.12753932,0.10200511,0.19076379,71
ISG20,0.1292943,0.18018843,0.29993406,0.23434761,0.097035475,0.08133131,0.18815997,72
TUBA1B,0.08095421,0.17832738,0.1921658,0.25832945,0.21651304,0.06574828,0.18525797,73
IFITM2,0.114371315,0.2003438,0.29408172,0.074007235,0.24313384,0.09058342,0.18518758,74
DNASE1L3,0.17490809,0.3391421,0.14663321,0.012728324,0.2493203,0.12160104,0.1845464,75
CD300E,0.13451213,0.18259895,0.2165306,0.18062842,0.20005539,0.030708127,0.1828651,76
MS4A4A,0.23677586,0.23029235,0.099819444,0.1792468,0.16794801,0.05542539,0.18281648,77
HLA-DRA,0.37790117,0.18761103,0.11387067,0.12890969,0.09203662,0.116128854,0.18006584,78
FTL,0.17205183,0.12393267,0.07626832,0.29585773,0.20635809,0.0835978,0.17489372,79
GPAT3,0.25173122,0.2327717,0.11776028,0.1990244,0.06330393,0.079895474,0.1729183,80
RNASE6,0.17428803,0.10265297,0.18916017,0.1210658,0.27496845,0.06764725,0.17242709,81
CD74,0.26200882,0.12974328,0.22372817,0.17016181,0.07584643,0.073843524,0.17229769,82
SERPINB2,0.07696202,0.1482033,0.24986191,0.13184728,0.24498066,0.07514341,0.17037103,83
HSPA1A,0.092111856,0.24634056,0.12842289,0.081217736,0.3004921,0.09814935,0.16971703,84
PSAP,0.11057998,0.22161543,0.26999283,0.021080967,0.21788827,0.10080673,0.16823149,85
RHOC,0.17011425,0.17978485,0.19069105,0.11358594,0.17832969,0.030473744,0.16650116,86
CADM1,0.21509273,0.0,0.11505194,0.2998472,0.18944293,0.112920456,0.16388696,87
RPS29,0.14503896,0.10978377,0.2379328,0.22756436,0.09909153,0.06522739,0.16388229,88
GLUL,0.05600355,0.10488345,0.2643077,0.12768611,0.25708866,0.09378661,0.16199389,89
HLA-DRB5,0.2157989,0.2511584,0.15136394,0.084832415,0.10624597,0.07074592,0.16187993,90
CD1C,0.15738772,0.13970745,0.20652036,0.23047046,0.07400934,0.061094455,0.16161908,91
NFKB1,0.1254614,0.14981627,0.06691198,0.2423979,0.22022298,0.07136805,0.1609621,92
FOSB,0.10994957,0.10454424,0.1097477,0.21053228,0.26984027,0.07536548,0.16092281,93
SLC11A1,0.104354404,0.16599625,0.170129,0.0903678,0.25493687,0.06529973,0.15715687,94
LILRA4,0.19216748,0.06113842,0.20919172,0.1360821,0.16730328,0.05835408,0.1531766,95
FCGR2A,0.14630312,0.14637814,0.15806493,0.14539157,0.15407956,0.0056942706,0.15004346,96
CPM,0.17092995,0.04089387,0.107559584,0.14246589,0.28476974,0.08994548,0.1493238,97
ATP2B1,0.0721703,0.051445153,0.35209572,0.06882752,0.19807988,0.12796772,0.14852372,98
CCL4,0.1342917,0.092407934,0.16266973,0.20521355,0.14338356,0.041193053,0.14759329,99
MS4A7,0.110992305,0.19825146,0.064532846,0.16217397,0.1986868,0.058364898,0.14692748,100
C5AR1,0.13828978,0.07949002,0.25944233,0.14292145,0.101708844,0.06948038,0.14437048,101
ABCA1,0.15196145,0.09624131,0.08678806,0.24514474,0.14082238,0.06296359,0.14419158,102
CD99,0.122969836,0.059546623,0.15186572,0.1475085,0.2255713,0.059731185,0.1414924,103
WARS,0.10615006,0.13333252,0.20110944,0.11691235,0.1485259,0.037158765,0.14120606,104
MTSS1,0.06066349,0.11198038,0.12895913,0.2076256,0.1962466,0.06109866,0.14109504,105
IFITM3,0.12808958,0.12519333,0.1467134,0.15103245,0.15402132,0.013410605,0.14101002,106
ZFAND5,0.0149061065,0.10834196,0.27483767,0.11184229,0.19214731,0.09790716,0.14041507,107
IL1RN,0.14901328,0.12961797,0.16036017,0.14698848,0.11462377,0.018001953,0.14012074,108
PPIF,0.087447,0.12219175,0.0993049,0.13009293,0.2461278,0.0633488,0.13703287,109
TGIF1,0.28254333,0.08429389,0.07523282,0.12905152,0.11339496,0.08425602,0.1369033,110
FSCN1,0.053705044,0.20922238,0.12342467,0.0058365264,0.28242016,0.11254743,0.13492176,111
PLAU,0.114859745,0.134356,0.2635837,0.08758879,0.06657535,0.07722799,0.13339272,112
ANXA1,0.10913015,0.085042,0.1478637,0.11785396,0.1811538,0.037162073,0.12820873,113
TNFAIP6,0.11915997,0.20323353,0.18385819,0.13100477,0.0023275942,0.078518964,0.12791681,114
SLCO2B1,0.05989082,0.11177747,0.13856998,0.16818872,0.14562097,0.041498475,0.1248096,115
GPX1,0.079520375,0.101841874,0.15967725,0.12027745,0.15860382,0.035190787,0.12398414,116
CD81,0.112966664,0.1762279,0.13574639,0.15677385,0.037706308,0.053637963,0.12388422,117
HMGB2,0.19245788,0.14121056,0.06320883,0.13801391,0.082604565,0.051446497,0.123499155,118
HES4,0.054806747,0.21634473,0.12518282,0.038830213,0.17314148,0.07575962,0.1216612,119
YWHAH,0.13396232,0.08626197,0.10952121,0.036546454,0.21808721,0.067044385,0.11687583,120
MXD1,0.16690038,0.08696322,0.14540991,0.047802046,0.13223812,0.04799341,0.11586273,121
CTSD,0.0972141,0.1581616,0.08494101,0.11762335,0.12126775,0.027952773,0.11584155,122
MT2A,0.10289665,0.12865484,0.117768474,0.0956642,0.13359049,0.016259871,0.11571493,123
MCEMP1,0.12049052,0.12923048,0.04342568,0.08324908,0.1926207,0.055636026,0.11380329,124
ALOX15B,0.12639484,0.11707705,0.10105453,0.073745534,0.14796336,0.027846826,0.11324706,125
FAM26F,0.04971789,0.14197385,0.11334921,0.042964056,0.2113051,0.069653936,0.11186202,126
GPR183,0.100907065,0.107032984,0.100185215,0.08639574,0.16135529,0.029049248,0.111175254,127
CXCL3,0.13366562,0.13828596,0.0020296604,0.19052608,0.08412913,0.07101256,0.1097273,128
AREG,0.116292916,0.06982463,0.108426124,0.15624142,0.092420444,0.031993024,0.10864111,129
LINC01272,0.14295043,0.19151211,0.03865555,0.036672767,0.13116463,0.068243034,0.108191095,130
PPP1R15A,0.14699605,0.08366048,0.07461201,0.122441,0.11152306,0.029362813,0.10784652,131
ACTN1,0.10374308,0.077314354,0.097496465,0.20001324,0.054786917,0.055586167,0.10667081,132
